"","x6","x5","x4","x3","x2","x1","y"
"1",6.1297,7.1769,7.8583,8.3945,8.8845,9.3601,9.831
"2",6.1477,7.1717,7.8386,8.3642,8.8451,9.3117,9.7739
"3",6.1191,7.1686,7.8535,8.3929,8.886,9.3646,9.8385
"4",6.1213,7.0745,7.7013,8.1956,8.6479,9.0869,9.5218
"5",6.1635,7.0822,7.6986,8.1908,8.6425,9.0813,9.5159
"6",6.1462,7.0716,7.7008,8.2071,8.6726,9.1251,9.5735
"7",6.1415,7.0868,7.709,8.2006,8.6504,9.0872,9.5198
"8",6.1456,7.1058,7.7323,8.2253,8.676,9.1134,9.5467
"9",6.1825,7.2255,7.9021,8.4351,8.9224,9.3952,9.8633
"10",6.1419,7.0623,7.6705,8.1513,8.5916,9.019,9.4423
"11",6.1642,7.0931,7.7155,8.2128,8.6691,9.1125,9.5517
"12",6.1894,7.165,7.8017,8.304,8.7633,9.2091,9.6505
"13",6.1387,7.1583,7.8214,8.3431,8.82,9.2828,9.7411
"14",6.1454,7.1974,7.8766,8.4095,8.8963,9.3686,9.8364
"15",6.1212,7.1091,7.7547,8.2631,8.728,9.1793,9.6262
"16",6.1372,7.1229,7.7751,8.2932,8.768,9.2292,9.686
"17",6.1243,7.116,7.7556,8.2549,8.7101,9.1517,9.589
"18",6.1943,7.1142,7.7195,8.1978,8.6355,9.0602,9.4808
"19",6.1327,7.0571,7.6747,8.1663,8.6172,9.0553,9.4892
"20",6.1895,7.1436,7.7688,8.2627,8.7147,9.1533,9.5877
"21",6.1706,7.1262,7.7515,8.2448,8.6959,9.1337,9.5672
"22",6.1247,7.0756,7.7143,8.2248,8.6935,9.1489,9.6001
"23",6.1693,7.222,7.8854,8.398,8.8641,9.3157,9.7629
"24",6.1541,7.0667,7.6678,8.1421,8.5759,8.997,9.414
"25",6.1518,7.2179,7.8968,8.4251,8.9065,9.3732,9.8353
"26",6.1906,7.1868,7.8281,8.3302,8.7882,9.2324,9.6723
"27",6.1913,7.1958,7.8449,8.3545,8.8198,9.2712,9.7182
"28",6.1405,7.1388,7.78,8.28,8.7359,9.1781,9.6159
"29",6.183,7.2027,7.8609,8.3772,8.8486,9.3059,9.7587
"30",6.1524,7.2016,7.8696,8.3887,8.8615,9.3199,9.7737
"31",6.1962,7.2386,7.9043,8.4235,8.8967,9.3554,9.8095
"32",6.1295,7.191,7.8689,8.3963,8.8768,9.3427,9.804
"33",6.1801,7.1529,7.7923,8.2984,8.7618,9.2115,9.657
"34",6.1916,7.2317,7.8895,8.3995,8.8636,9.3134,9.7587
"35",6.127,7.1165,7.7583,8.2614,8.7208,9.1666,9.6081
"36",6.1279,7.1443,7.8054,8.3254,8.8006,9.2617,9.7185
"37",6.1694,7.2013,7.8596,8.3725,8.84,9.2933,9.7421
"38",6.1912,7.1864,7.8222,8.3174,8.7687,9.2062,9.6394
"39",6.1235,7.12,7.7687,8.2783,8.7438,9.1956,9.643
"40",6.1718,7.1695,7.8054,8.2994,8.7492,9.1853,9.617
"41",6.1342,7.1685,7.8372,8.3616,8.8405,9.3053,9.7655
"42",6.2007,7.0939,7.7005,8.188,8.6359,9.071,9.502
"43",6.153,7.1865,7.8531,8.3758,8.8532,9.3164,9.7751
"44",6.132,7.2109,7.8997,8.4364,8.9255,9.3999,9.8696
"45",6.144,7.1026,7.7319,8.2287,8.6833,9.1246,9.5617
"46",6.1546,7.1007,7.7214,8.2114,8.6597,9.0949,9.5259
"47",6.1427,7.1509,7.8119,8.3348,8.8135,9.2783,9.7386
"48",6.1359,7.0548,7.6789,8.1804,8.6415,9.0897,9.5337
"49",6.1595,7.1493,7.7905,8.2939,8.7537,9.1999,9.6418
"50",6.1572,7.0788,7.6979,8.1927,8.6469,9.0882,9.5254
"51",6.1458,7.0784,7.7,8.1949,8.6487,9.0896,9.5263
"52",6.1701,7.0785,7.6818,8.1604,8.5987,9.0243,9.4458
"53",6.1466,7.1804,7.8428,8.3598,8.8312,9.2884,9.7412
"54",6.1619,7.0902,7.7025,8.187,8.6306,9.0612,9.4878
"55",6.1872,7.2101,7.8672,8.3816,8.8509,9.3061,9.7568
"56",6.1743,7.1597,7.7907,8.2823,8.7302,9.1646,9.5946
"57",6.1231,7.1339,7.7821,8.2862,8.7455,9.1909,9.6319
"58",6.1822,7.142,7.7658,8.256,8.704,9.1386,9.569
"59",6.1478,7.1807,7.8379,8.3482,8.8128,9.2634,9.7094
"60",6.1787,7.1654,7.8072,8.3126,8.7747,9.2232,9.6672
"61",6.2015,7.1309,7.7356,8.2103,8.6438,9.0643,9.4807
